CLO Identifier (auto),CLO Number (edit),"Bloom's Taxonomy (R=Remembering, U=Understanding, Ap=Applying, An=Analyzing, E=Evaluating, C=Creating)","CLO Level (C=core, I=intermediate, A=advanced) (edit)",WeBWork Level Classification of CLO,Course Learning Outcome (CLO),Notes / topics / questions,Week / Meeting,WeBWork 1 (question name and type),WeBWork 2  (question name and type), WeBWork 3  (question name and type) ... 2 Q's each should be enough for most outcomes ...,WeBWork 4
1-0-0-C,1-0-0,,C,,"work with functions algebraically, graphically and symbolically; identify and interpret key features of functions (slope, intercepts, equations)",High-level outcome (for course outline); short name: #1-0-0-C; functions,,No. of 1-0-0-C problems  --- >>>,19,,
1-7-0-C-A,1-7-0,C,A,N/A,create functions that satisfy a given set of properties,,W1-M2,,,,
1-1-0-An-C,1-1-0,An,C,4,interpret key features and properties from the graph of a function,,W1-M1,1-1-0-An-C-interpret-graph1.pg; numeric and intervals; no randomization,1-1-0-An-C-graph-interval-jms.pg; interval list; read intervals of increase/decrease off the graph of a random parabola,"1-1-0-An-C-quad-linear-jms.pg; drop down; determine if graph is a linear or quadratic, if linear determine if slope is +/-",
1-2-0-An-C,1-2-0,An,C,4,switch between different representations of functions,,W1-M1,1-2-0-An-C-mc1-jms.pg; multiple choice; set builder and function notation,1-2-0-An-C-fcn-sub-jms.pg; function answer; make subsitutions of numbrers and variables in function,,
1-3-1-Ap-C,1-3-1,Ap,C,3,solve problems and make calculations involving trigonometric functions,,,1-3-1-Ap-C-eval-cos-sin-AT.pg,1-3-1-AP-C-solve-for-theta-AT.pg,,
1-3-2-Ap-C,1-3-2,Ap,C,3,solve problems and make calculations involving logarithmic functions,,,1-3-2-Ap-C-log-to-exp-jms.pg; numeric and function; given log equation write exponential equation,1-3-2-Ap-C-exp-to-log-jms.pg; numeric and function; givenexp equation write logarithm,,
1-3-3-Ap-C,1-3-3,Ap,C,3,solve problems and make calculations involving exponential functions,,,,,,
1-3-4-Ap-C,1-3-4,Ap,C,3,solve problems and make calculations involving piecewise functions,,W1-M2,,,,
1-3-5-Ap-C,1-3-5,Ap,C,3,solve problems and make calculations involving polynomial and algebraic functions,,,,,,
1-4-0-U-C,1-4-0,U,C,2,identify different classes of common functions ,,W1-M1,1-4-0-U-C-rational1-jms.pg; multiselect; choose rational functions,1-4-0-U-C-drop-down-jms_1.pg; drop down; choose best description of type of function,,
1-6-0-U-C,1-6-0,U,C,2,"identify components of a function (domain, codomain, definition, image)",,W1-M1,1-6-0-U-C-rational-dom-jms.pg; interval (union); find domain of rational function,1-6-0-U-C-alg-dom-dg.pg; interval (union); find domain of algebraic function (Danny's template example),,
1-1-1-U-C,1-1-1,U,C,2,identify the slope and intercept from the graph of a linear function,,W1-M2,"1-1-1-U-C-slope-int-1-jms.pg; numeric; identify slope, x and y intercepts from a random linear graph (positive slope)","1-1-1-U-C-slope-int-2-jms.pg; numeric; identify slope, x intercepts from a random linear graph + calculuate y-int (negative slope)",,
1-10-0-U-C,1-10-0,U,C,2,identify when a function is invertible,,W1-M2,,,,
1-1-3-U-C,1-1-3,U,C,2,interpret the meaning of a slope algebraically in terms of change in dependent/independent variables,"e-g-, if m = 3 and Delta x = 2, then Delta y = 6",W1-M2,"1-1-3-U-C-delta-slope-jms.pg; numeric; random line, calculate change in x and y given random changes (one increase, one decrease) in two parts",1-1-3-U-C-point-slope-jms.pg; numeric and function; find slope and equation of line joining two randomly generated points,,
1-1-4-U-C,1-1-4,U,C,2,interpret the meaning of an intercept algebraically in terms of solutions to equations,"e-g-, if the x intercept of y=f(x) is x = 2, then f(2) = 0",W1-M2,1-1-4-U-C-num-int-jms.pg; numeric; fill in interpretation of x and y intercepts given unknown function and random values,1-1-4-U-C-int-from-eq-jms.pg; drop down + numeric; given equations identify intercepts,,
1-5-0-E-I,1-5-0,E,I,4,identify appropriate types of functions for various calculus problems/applications,,,,,,
1-2-1-E-I,1-2-1,E,I,4,identify appropriate representations of functions for communicating information,,W1-M1,,,,
1-2-2-An-I,1-2-2,An,I,4,conceptualize functions as transformations or operations,,W1-M1,,,,
1-8-0-C-I,1-8-0,C,I,N/A,do math with bad pictures (develop intuitive sense of salient features of a function graphically),,,,,,
2-0-0-C,2-0-0,,C,,develop fluency working with variables and equations using algebra to solve equations,"High-level outcome (for course outline); short name #2-0-0-C; equations ** This really should be a course ""in-come""",,No. of 2-0-0-C problems  --- >>>,17,Make 3 each here!,
2-1-0-Ap-C,2-1-0,Ap,C,3,factor polynomial functions of degree less than or equal to 3,,,2-1-0-Ap-C-factor-root-jms.pg; numeric list; factor non-monic quadratic to find distinct roots,2-1-0-Ap-C-factor-root-v2-jms.pg; numeric list; factor monic cubic with root x=0 to find distinct roots of resulting monic quadratic,2-1-0-Ap-C-factor-blanks-jms.pg; numeric; fill-in coefficients to factor quadratic based on a pre-determined pattern (x+b)(cx+a),2-1-0-Ap-C-factor-blanks-v2-jms.pg; numeric; fill-in variable or coefficients to factor cubic based on a pre-determined pattern x(x+b)(cx+a)
2-2-0-Ap-C,2-2-0,Ap,C,3,solve equations involving common functions in the course,,,2-2-0-Ap-C-quad-log-jms.pg; numeric list; solve quadratic equation with log variable,2-2-0-Ap-C-abs-quad-jms.pg; numeric list; solve equation with absolute value and quadratic,,
2-2-1-Ap-C,2-2-1,Ap,C,3,solve equations involving polynomial functions,,,"2-2-1-Ap-C-poly-int-jms.pg; list of points; find intersection point of quadratic and linear; sometimes no solution, integer solutions, one case of irrational solutions",2-2-1-Ap-C-poly-int-v2-jms.pg; numeric list; find intersection to two quadratics; integer solutions (sometimes large) or no solutions; revised version of other problem,2-2-1-Ap-C-quad-lin-int-jms.pg; find intersection point of quadratic and linear; integer solutions or no solutions; same problem as poly-int-v2 but with f and g changed,
2-2-2-Ap-C,2-2-2,Ap,C,3,solve equations involving logarithmic and exponential functions,,,2-2-2-Ap-C-quad-log-dist-jms.pg; numeric; solve quadratic equation with log variable with distinct roots ordered large to small,2-2-2-Ap-C-exp-log-jms.pg; list; no solutions to a log/exp equation,2-2-2-Ap-C-lin-log-jms.pg; numeric list; linear factor with log variable; x=0 not in the domain so only one solution,
2-2-3-Ap-C,2-2-3,Ap,C,3,solve equations involving trigonometric functions (with or without domain restrictions),,,"2-2-3-Ap-C-sin-eq-jms.pg; numeric or numeric list; solve sin(x) = sin(2x) or sin(x) = sin(3x) for x in (0,pi)","2-2-3-Ap-C-cos-eq-jms.pg; numeric; solve cos(x) = cos(2x) or cos(x) = cos(3x) for x in (0,pi)","2-2-3-Ap-C-trig-x-jms.pg; numeric or numeric list; solve either x+sin(2x) = x or x+cos(2x) = x for x in (0,pi)",
2-3-0-An-C,2-3-0,An,C,4,translate between symbolic equations and information presented in other ways,,,"249-2-0-0-C/2-3-0-An-C/2-3-0-An-C-tnslt-ineq-cmm.pg; multiple choice; sentence invovling sqr rt, inequality, and multiplication with two variables x and y; translate sentence into symbolic equation .","249-2-0-0-C/2-3-0-An-C/2-3-0-An-C-tnslt-eqtn-cmm.pg; multiple choice; symbolic euqation given with inequality, root, and power; translate symbolic equation into sentence. ",,
2-3-1-U-C,2-3-1,U,C,2,"represent solutions to equations graphically (intersections, roots, intercepts)",,,,,,
3-0-0-C,3-0-0,,C,,identify appropriate calculus concept or tool to solve a variety of abstract and concrete problems,High-level outcome (for course outline); short name #3-0-0-C; problem-solving,,No. of 3-0-0-C problems  --- >>>,10,,
3-3-0-C-A,3-3-0,C,A,N/A,create problems that do/do not involve calculus in their solution,,,,,,
3-1-0-Ap-I,3-1-0,Ap,I,5,translate a word problem into an abstract calculus problem,,,"3-1-0-Ap-I-opt-funct-jms.pg; function, given an optimization problem, choose the correct objective function to optimize; drop down; choose the type of problem this is (to see if learners would know where to look for additional information on how to solve...)","3-1-0-Ap-I-approx-funct-jms.pg; given a numerical approximation problem, choose a function to use for a Taylor Polynomial calcultation at a given centre; choose the type of problem from a drop down",,
3-2-0-E-I,3-2-0,E,I,4 or 5,"identify practical, concrete situations where calculus is a useful tool",WeBWork level 5 = word problems,,,,,
3-4-0-E-I,3-4-0,E,I,4,"choose an appropriate approximation technique to approximate values of functions, roots of functions, or (percentage) change in functions","values of functions (linear or taylor polynomial), roots of functions (IVT or Newton's method), change in a function (differentials)",,"3-4-0-E-I-approx-choice-jms.pg; drop down, choosing approximation method given two specific approximation problems","3-4-0-E-I-approx-choice-v2-jms.pg (versioned question); drop down, choosing approximation method given two specific approximation problems",,
3-5-1-Ap-I,3-5-1,Ap,I,3,choose an appropriate optimization technique to solve abstract optimization problems,"Make sure students know the language ""Closed Interval Method"" and ""Global Interval Method"" in the case of one critical point for optimization problems, given domain and number of critical points should influence choice of method",,"3-5-1-Ap-I-opt-choice-jms.pg; drop down (yes/no); given an abstract or standard box optimization problem, determine if the Closed Interval Method can be used.",3-5-1-Ap-I-second-der-test-jms.pg; drop down and numeric; given data about two critical points choose correct method and conclusion abuout an extrema,3-5-1-Ap-I-first-der-test-jms.pg; drop down and numeric; given data about one critical and intervals choose correct method and conclusion abuout an extrema between First Derivative Test / Global Interval Method,
3-5-2-Ap-I,3-5-2,Ap,I,5,choose an appropriate optimization technique to solve optimization word problems,"will typically involve finding a domain first, then doing above",,,,,
3-6-0-Ap-I,3-6-0,Ap,I,3,choose between using derivatives or antiderivatives (integrals) to solve problems involving rates of change,,,"3-6-0-Ap-I-drop-down-jms.pg; drop down; generic problem description choose ""derivative"" ""integral"" or ""no calculus required""","3-6-0-Ap-I-drop-down-detail-jms.pg; drop down; specific/detailed problem description choose ""derivative"" ""indefinite integral"" or ""definite integral""",,
3-7-0-Ap-I,3-7-0,Ap,I,3,"identify when a major ""value"" theorem (EVT, IVT, MVT) can be used to solve a problem",,,3-7-0-Ap-I-drop-down-jms.pg; drop down; choose correct name for each of the value theorems with statements given,3-7-0-Ap-I-value-choice-jms.pg; drop-down; randomly chooses on of the three problems to the right of this entry,3-7-0-Ap-I-mvt-jms.pg; drop down; given abstract problem choose the best theorem to help solve the problem (MVT),3-7-0-Ap-I-ivt-jms.pg; drop down; given abstract problem choose the best theorem to help solve the problem (IVT)
4-0-0-I,4-0-0,,I,,use a variety of approximation techniques to solve abstract and concrete approximation problems,High-level outcome (for course outline); short name #4-0-0-I; approximation,,No. of 4-0-0-C problems  --- >>>,21,,
4-1-1-Ap-C,4-1-1,Ap,C,3,implement linear approximation to approximate numerical values of a function,,,4-1-1-Ap-C-root-jms.pg.; numeric; linear approximation of a square root of a number given a function and the point to approximate at,4-1-1-Ap-C-power-jms.pg.tmp; numeric; approximate (integer + x/100)^power with linear approximation; no function or point given,4-1-1-Ap-C-log-jms.pg; numeric; linear approximation of ln(a+x/100) with a close to 1,
4-2-1-Ap-C,4-2-1,Ap,C,3,implement Taylor Polynomial approximation to approximate numerical values of a function,,,4-2-1-Ap-C-taylor-poly-approx-AT.pg,,,
4-2-2-Ap-I,4-2-2,Ap,I,3,use Taylor's Remainder Theorem to estimate the error in a Taylor Polynomial approximation,,,4-2-2-Ap-I-taylor-remainder-approx-AT.pg,,,
4-2-3-Ap-I,4-2-3,Ap,I,3,use Taylor's Remainder Theorem to identify the degree of Taylor Polynomial approximation required to reach a given error threshold,,,4-2-3-Ap-I-taylor-poly-degree-AT.pg,,,
4-1-2-E-I,4-1-2,E,I,4,determine if a linear approximation is an over/under estimate by using the second derivative and concavity,Need to know about concavity to do first two problems; last problem can be done earlier since a graph is given,,4-1-2-E-I-poly-over-under-jms.pg; drop down; determine over or under value of odd deg polynomial  for point left/right of IP; solution using second derivative,4-1-2-E-I-abstract-over-under-jms.pg; drop down; determine over or under for unknown function given information about f' and f'' on an interval; solution uses concavity,4-1-2-E-I-graph-overunder-jms.pg; multiple choice and drop down; given graph choose correct linear approximation and determine if over/under estimate,
4-3-1-Ap-I,4-3-1,Ap,I,3,implement differential approximation to estimate the change in a function given the change in the independent/dependent variable,Related to 11-5-4-Ap-C; using differentials in the context of integration by substitution,,4-3-1-Ap-I-demand-change-jms.pg; numeric; given demand function find approximate change in demand given a price decrease,4-3-1-Ap-I-fcn-change1-jms.pg; function and numeric; compute differential of polynomial and then compute approximate change and actual change in f given initial and final values of x,"4-3-1-Ap-I-fcn-change-2-jms.pg; fundtion and numeric; given initial point and change in x, find differential, approximate change in x and actual change in x.","4-3-1-Ap-I-fcn-change-3-jms; function and numeric; with a square root of (x-a); differential, approximate change in  f, and actual change in x and f"
4-3-2-Ap-I,4-3-2,Ap,I,3,implement differential approximation to estimate the percent change in a function given the percent change in the independent variable,Related to 11-5-4-Ap-C; using differentials in the context of integration by substitution,,"4-3-2-Ap-I-percent-sphere-jms.pg; numeric; given percent change in surface area of sphere, find corresponding percentage change in radius and volume; phrased as a physics application","4-3-2-Ap-I-percent-change-jms; numeric and drop down; given quantity that depends on power of x (pos/neg) and percent change in x, find percent change in A and determine inc/dec","4-3-2-Ap-I-percent-change-2-jms.pg; given y = f(x) and percent change in x (inc/dec), determine percent change in y (signed +/-)",
4-3-3-Ap-I,4-3-3,Ap,I,3,use the Intermediate Value Theorem as a coarse method of approximating roots of functions,,,4-3-3-Ap-I-ivt-mc-jms.pg; multiple choice; given data table choose smallest interval where IVT gives a solution to 0=f(x),"4-3-3-Ap-I-ivt-mc-no-sol-jms.pg; same as 4-3-3-Ap-I-ivt-mc-jms.pg; multiple choice; given data table choose smallest interval where IVT gives a solution to 0=f(x) but all function values have the same sign so ""none of the above"" is correct",,
4-4-0-Ap-C,4-4-0,Ap,C,3,use Newton's Method to approximate roots of functions,,,4-4-0-Ap-C-nm-exp-jms.pg; numeric; 3 iterations of Newton's Method. Similar equation to one that appears in a 3-0-0-C question where they need to choose the method. ,4-4-0-Ap-C-nm-cubic-jms.pg; three iterations of Newton's Method to approximate root of a cubic. Similar to one that appears in a 3-0-0-C question where they need to choose the method.,4-4-0-Ap-C-nm-log-jms.pg; numeric; 3 iterations of Newton's Method; have to rearrange to get function first; will always be accurate to 5 decimal places after 4 iterations (highlighted in the solution),
4-4-1-E-I,4-4-1,E,I,4,"evaluate situations where Newton's Method fails to approximate a root of a function due to a poor initial estimate (e.g., oscillation between two roots), arriving at a derivative that is equal to zero, or the fact that there is no root",,,,,,
5-0-0-C,5-0-0,,C,,"explain the concept of ""limit"" and how it arises in various calculus concepts; in particular continuity and the Intermediate Value Theorem",High-level outcome (for course outline); short name: #5-0-0-C; limits,,No. of 5-0-0-C problems  --- >>>,42,,
5-6-3-An-A,5-6-3,An,A,4,explore how the assumption of continuity is necessary to apply the Intermediate Value Theorem,,,,,,
5-1-1-R-C,5-1-1,R,C,1,state a precise definition of what it means for a limit to exist,Any quiz should only have at most one of the following questions; solution not provided,,5-1-1-R-C-defn-mc-jms.pg; mutliple choice; definition of a limit; abstract function random explicit value,5-1-1-R-C-defn-inf-mc-jms.pg; multiple choice; definition of a limit at infinity; abstract function random explicit value,5-1-1-R-C-defn-neg-inf-mc-jms.pg; multiple choice; definition of a limit at infinity; abstract function random explicit value,"5-1-1-R-C-defn-inf-lim-mc-jms.pg; multiple choice, definition of infinite limit; abstract function random value to approach"
5-2-1-An-C,5-2-1,An,C,4,determine if the limit of a function (including piecewise) exists graphically,,,5-2-1-An-C-limit-graph-1-jms.pg; numeric; randomly generated graph of piecewise function; either asks about one-sided and two-sided limits at -2 or 2; two-sided limit may or may not exist (getting at notational issues with +/- 2 and one-sided),"5-2-1-An-C-limit-graph-2-jms.pg; numeric; one-sided limits, two-sided limit DNE, asks for value of function at -3 or 1; randomly generated piecewie function graph given","5-2-1-An-C-limit-graph-3-jms.pg; graph with a removable discontinuity; asks for two-sided limit, value of the function; and either the right or left limit at a point with a jump discontintuity",
5-2-2-An-C,5-2-2,An,C,4,defermine if the limit of a function exists analytically/algebraically,,,5-2-2-An-C-compute-limits-1-jms.pg; numeric; two limits; both exist; one direct subsitution (Danny's template); one one-sided factor and cancel with an absolute value to deal with,5-2-2-An-C-compute-limits-2-jms.pg; numeric; ratio of quadratics (answer is always 0); absolute value two-sided (answer is always DNE),5-2-2-An-C-compute-limits-3-inf-jms.pg; reciprocal of a difference of squares; one-sided limits and two sided; one sided will be +/- inf and two sided will not exist,
5-2-3-An-C,5-2-3,An,C,4,determine if the limit of a piecewise function exists analytically,,,5-2-3-An-C-pw-limit-1-jms.pg; numeric; piecewise function with two pieces; compute two one-sided limits always using two different pieces,5-2-3-An-C-pw-limit-2-jms.pg; numeric; piecewise function (similar to last example); compute one and two sided limits at one point; two sided limit may or may not exist (exists ~15% of cases),5-2-3-An-C-pw-limit-3-jms.pg; numeric; piecewise funciton with 3 pieces; two two-sided limits;  first limit exists 33% of the time; second exists 50% of the time,
5-3-1-U-C,5-3-1,U,C,2,determine if L'Hopital's Rule can be applied to compute a given limit,L'Hôpital's Rule will be covered later in the semester than other limit problems,,5-3-1-U-C-ms-lhop-jms.pg; multiselect; choose limits where L'Hopital's Rule can be applied,5-3-1-U-C-ms-lhop-v2-jms.pg; multiselect; choose limits where L'Hopital's Rule can be applied,,
5-3-2-Ap-C,5-3-2,Ap,C,3,use L'Hopital's Rule to compute a limit of Type 0/0 or infinity/infinity,L'Hôpital's Rule will be covered later in the semester than other limit problems,,5-3-2-Ap-C-compute-lhop-1-jms.pg; numeric; two limits; one type 0/0 and one inf/inf; second is always 0,5-3-2-Ap-C-compute-lhop-2-jms.pg; numeric; both exist; both type 0/0; need to use L'Hôpital twice for second limit,5-3-2-Ap-C-compute-lhop-3-jms.pg ; numeric; Both type inf/inf but L'Hoptial is not the best approach; algebraic funciton sqrt(x^2)/x to pm infty; solution does not use L'Hopital,
5-3-5-E-I,5-3-5,E,I,4,recognize that L'Hoptial's Rule has been applied incorrectly in a given calculation,L'Hôpital's Rule will be covered later in the semester than other limit problems,,,,,
5-4-1-U-C,5-4-1,U,C,2,explain the relationship between limits and vertical/horizontal asymptotes of a function,,,5-4-1-U-C-asymp-dd-jms.pg; drop down and numeric; given information about two limits choose if funciton has a horizontal/vertical asymptote; choose equation as x/y = numeric blank,5-4-1-U-C-asymp-num-dd-jms.pg; given simple function; compute two limits and identify type of asymptote and equation; simiilar to other quesiton here but adds one additional step but less versioning,,
5-4-2-Ap-C,5-4-2,Ap,C,3,identify the vertical/horizontal asmptoes of a function by computing limits,,,5-4-2-Ap-C-asymp-vert-jms.pg; numeric; given rational function identify point where there is a vertical asymptote and compute a one-sided limit; identify a point where the funciton is undefined but there is no vertical asymptote,5-4-2-Ap-C-asymp-horiz-jms.pg; numeric; given rational function with equal largest power in numerator and denominator find limit at +/- infinity and state equation of horizontal asymptote.,5-4-2-Ap-C-asymp-horiz-2-jms.pg; numeric; compute limit at infinity of function with exp(-x) and state horizontal asymptote equation y = L,
5-4-5-U-C,5-4-5,U,C,2,"recognize that a function may ""cross"" its horizontal asymptotes",,,5-4-5-U-C-t-f-asmp-1-jms.pg; drop down with graph of function (sine) and asymptote; true or false limit at infinity (Squeeze Theorem) and statement about horizontal asymptote,5-4-5-U-C-t-f-asmp-2-jms.pg; drop down with graph of function (cosine) and asymptote; true or false limit at infinity (Squeeze Theorem) and statement about horizontal asymptote,,
5-5-0-R-C,5-5-0,R,C,1,state a precise definition of what it means for a function to be continuous at a point,,,5-5-0-R-C-cont-def-dd-jms.pg; drop down and numeric; table of values given for a function and continuity at a point definition is asked for,,,
5-5-1-U-C,5-5-1,U,C,2,"recognize types of discontinuities  (removable, jump, infinite) given the graph of a function",Using same graph code as 5-2-1-An-C questions above; question changed to drop-down; two bold questions are likely enough and capture more situations with randomization / question design,,"5-5-1-U-C-discon-graph-1-jms.pg; dropdown; given graph of piecewise function, either has a jump discontinuity or is continuous at +/-2",5-5-1-U-C-dicon-graph-2-jms.pg; drop down and numeric; jump and infinite discontinuity at -3 and 1 respectively; also asks for numeric answers for limits from the graph to give the justification for the type of discontinuity.,"5-5-1-U-C-discon-graph-3-jms.pg; drop down; one point always a removable discontinuity; other point is either a jump, removable or is continuous",
5-5-2-U-C,5-5-2,U,C,2,"recognize types of discontinuities (removable, jump, infinite) given an algebraic or piecewise expression for a function",,,5-5-2-U-C-pw-cont-1-jms.pg; drop down; piecewise function from 5-2-3-An-C-pw-limit-3-jms.pg; either continuous or  jump discontinuity,5-5-2-U-C-pw-cont-2-jms.pg; two pieces; internal to two intervals there are removable / infinite discontinuity (switches places); do not ask about points where pieces join intentionally,,
5-5-4-Ap-C,5-5-4,Ap,C,3,find the intervals where a given piecewise function is continuous,,,"5-5-4-Ap-C-cont-int-1-jms.pg; interval; piecewise with two parts; one part has a discontinuity inside its interval of defn; very rarely randomization will make the function continuous at the point where the two parts are joined (a=1,b=6,c=-2,m=3)","5-5-4-Ap-C-cont-int-2-jms.pg; interval; piecewise with two functions and a point defined; one piece always infinite discontinuity at 0; at point where functions join could be continuous, removable or jump.",,
5-6-2-Ap-C,5-6-2,Ap,C,3,apply the Intermediate Value Theorem to make conclusion about the roots of continuous functions,Question from 4-0-0-C above,,4-3-3-Ap-I-ivt-mc-jms.pg; problem can also be used for 5-6-2-Ap-C,,,
5-3-0-R-I,5-3-0,R,I,1,state L'Hopital's Rule,L'Hôpital's Rule will be covered later in the semester than other limit problems,,,,,
5-3-3-Ap-I,5-3-3,Ap,I,3,manipulate an indeterminate limit into a Type 0/0 or infinity/infinity limit,L'Hôpital's Rule will be covered later in the semester than other limit problems,,249-5-0-0-C/5-3-3-Ap-I/5-3-3-Ap-I-manip-lhop-1-cmm.pg; infinity times 0 type; asked to re-write as infinity/infinity form and enter the numerator/denominator expressions,249-5-0-0-C/5-3-3-Ap-I/5-3-3-Ap-I-manip-lhop-2-cmm.pg; 1^{infinity} type; asked to re-write as infinity/infinity form and enter the numerator/denominator expressions ,,
5-3-4-Ap-I,5-3-4,Ap,I,3,use L'Hopital's Rule to compute an indeterminate limit that is not presented as Type 0/0 or infinity/infinity,L'Hôpital's Rule will be covered later in the semester than other limit problems,,5-3-4-Ap-I-compute-lhop-power-jms.pg; numeric; gives one of two limits of Type 1^inf; one needs L'Hopital once the other twice,5-3-4-Ap-I-compute-lhop-product-jms.pg; infinity times 0 type with trig function; answer is nonzero and finite,5-3-4-Ap-I-compute-lhop-difference-jms.pg; infinity - infinity; use L'Hop twice; answer is coefficient/2,
5-5-3-R-I,5-5-3,R,I,1,"state the precise definition of different types of discontinuities (removable, jump, infinite)",,,5-5-3-R-I-discon-defn-jms.pg; drop-down; match name of discontinuity to the given definition,,,
5-5-5-Ap-I,5-5-5,Ap,I,3,find unknown constants in a given piecewise function in order to make the function continuous everwhere,,,5-5-5-Ap-I-const-cont-1-jms.pg; numeric list; solve a quadratic to find all values that make a piecewise function continuous at x=-1,"5-5-5-Ap-I-const-cont-2-jms.pg; solve a quadratic to find all values that make a piecewise function continuous at 2, 3, 4 or 5; allows for a repeated root to be entered only once",5-5-5-Ap-I-const-cont-3-jms.pg; numeric; piecewise with three pieces; solve two quadratics with only one root in common that makes the function continuous everwhere,
5-6-1-R-I,5-6-1,R,I,1,state the Intermediate Value Theorem,,,,,,
6-0-0-C,6-0-0,,C,,"articulate the concept of the ""derivative"" in terms of ""rates of change"" and ""slope"" and give a precise definition",High-level outcome (for course outline); short name #6-0-0-C; derivative,,No. of 6-0-0-C problems  --- >>>,24,,
6-1-0-U-C,6-1-0,U,C,2,interpret rates of change in practical/applied contexts as the derivative of a function,,,"6-1-0-U-C-vel-acc-dd-jms.pg; drop-down, numeric and function; derivative of position is velocity; find when velocity is zero for a polynomial position function; asks for acceleration as a funciton of t",6-1-0-U-C-reaction-dd-jms.pg; drop-down and interval; given function that describes concentration; need to know/interpret increasing and decreasing in terms of sign; given intervals where inceasing/decreasing given simple derivative with e^x(x-a),6-1-0-U-C-cost-dd-jms.pg; drop down and numeric; marginal cost as inst rate of change; compute change in cost; interpret marginal cost as C(x+1)-C(x),6-1-0-U-C-pop-dd-jms.pg; drop down only; population; includes question about the graph and slope; asks to inperpret population as increasing/decreasing
6-1-1-R-C,6-1-1,R,C,1,state a precise definition of the derivative of a function at a point,,,6-1-1-R-C-defn-pt-1-jms.pg; numeric and function; power of x and sqrt(x),,,
6-1-2-R-C,6-1-2,R,C,1,state a precise definition of the derivative of a function as a function in its own right,,,6-1-2-R-C-defn-fcn-1-jms.pg; function; +sin(x)  +/-  ln(x),6-1-2-R-C-defn-fcn-2-jms.pg; function; ln(x) - cos(x),,
6-3-0-Ap-C,6-3-0,Ap,C,3,compute derivatives of simple algebraic functions by using the definition of the derivative,,,,,,
6-3-1-Ap-C,6-3-1,Ap,C,3,compute the equation of the tangent line to the graph of a function at a given point,,,"6-3-1-Ap-C-fcn-to-line-1-jms.pg; numeric; function; find derivative, find slope, find equation of line and find point on the graph",6-3-1-Ap-C-slope-1-jms.pg; numeric; find slope of a secant line and slope of a tangent line to a polynomial (neat: integer points will always give integer slope of secant lines),"6-3-1-Ap-C-fcn-to-line-2-jms.pg; numeric; function; GIVEN derivative, slope, equation of tangent line and point; trigonometric function",
6-9-1-U-C,6-9-1,U,C,2,"interpret ""slope of functions"" using the derivative analytically/algebraically",,,6-9-1-U-C-line-to-fcn-1-jms.pg; numeric; given equation of the tangent line find f(a) and f'(a),"6-9-1-U-C-line-to-fcn-2-jms.pg; numeric; given equation of the tangent line find f(a) and f'(a); includes ""pi"" in the slope to make it look superficially different",,
6-9-2-U-C,6-9-2,U,C,2,"interpret ""slope of functions"" using the derivative graphically",,,6-9-2-U-C-der-from-graph-1-jms.pg; numeric; function; given graph of piecewise function (all line segments); find slope and equation of tangent line to one of four points,"6-9-2-U-C-der-dne-graph-1-jms.pg; numeric list; given piecewise linear graph find points where derivative does not exist, could be 2, 1 or 0 (somtimes hard to see!); hint and solution provided",6-9-2-U-C-der-zero-graph-1-jms.pg; numeric list; given graph of a cubic find the two points where the derivative is equal to 0; always two distinct points ... easier to get the graph to appear reasonable this way,6-9-2-U-C-der-zero-graph-2-jms.pg; given graph of a cubic find the ONE points where the derivative is equal to 0; ... easier to get the graph to appear reasonable this way
6-10-1-Ap-C,6-10-1,Ap,C,3,calculate values and derivatives of the inverse of a function (abstractly),,,6-10-1-Ap-C-inv-table-1-jms.pg; numeric; given table of values find f^{-1}(pt) and (f^{-1})'(pt); 4 random points; picks one point to ask fo,"6-10-1-Ap-C-inv-table-2-jms.pg; numeric; fill in table of values for f, f-inv, fder, f-inv-der; some values of the table are unknown; probably HARD because there are 9 blanks and 3 DNE?",6-10-1-Ap-C-inv-der-from-graph-1-jms.pg; given graph  of piecewise decreasing function find derivative of function and inverse funciton where you need to use two different line segments for each derivative,
6-10-2-Ap-C,6-10-2,Ap,C,3,calculate values and derivatives of the inverse of a trigonometric function,,,"6-10-2-Ap-C-inv-trig-1-jms.pg; numeric; two values of inverse trig functions one sin^-1(special), cos^-1(sin)=cos^-1(-1), one derivative of sin^-1",6-10-2-Ap-C-inv-trig-2-jms.pg; numeric; derivative of cos^-1 and tan^-1 at the same point,,
6-2-0-U-I,6-2-0,U,I,2,recognize when a given limit is equal to the derivative of a function,,,,,,
6-2-1-Ap-I,6-2-1,Ap,I,3,compute sophisticated limits by recognizing them as derivatives and using the derivative to evaluate the limit,,,249-6-0-0-C/6-2-1-Ap-I/6-2-1-Ap-I-trkylmt-deriv-1-cmm.pg; find the derivative using the chain rule; involves the sine function; presented as a limit calculation using the limit definition of the derivative. ,249-6-0-0-C/6-2-1-Ap-I/6-2-1-Ap-I-trkylmt-deriv-2-cmm.pg; find the derivative using the chain rule; involves e^x; presented as a limit calculation using the limit definition of the derivative.,249-6-0-0-C/6-2-1-Ap-I/6-2-1-Ap-I-trkylmt-deriv-3-cmm.pg; find the derivative using the chain rule; involves a*ln(X); presented as a limit calculation using the limit definition of the derivative. ,
