CLO Identifier (auto),CLO Number (edit),"Bloom's Taxonomy (R=Remembering, U=Understanding, Ap=Applying, An=Analyzing, E=Evaluating, C=Creating)","CLO Level (C=core, I=intermediate, A=advanced) (edit)",WeBWork Level Classification of CLO,Course Learning Outcome (CLO),Notes / topics / questions,Week / Meeting,WeBWork 1 (question name and type),WeBWork 2  (question name and type), WeBWork 3  (question name and type) ... 2 Q's each should be enough for most outcomes ...,WeBWork 4
12-3-1-Ap-C,12-3-1,Ap,C,3,evaluate the definite integral of a function given the graph of the function,,,12-3-1-Ap-C-area-graph-1-jms.pg; numeric; given piecewise linear function; evaluate four definite integrals; one right-to-left; all with same lower limit of integration,"12-3-1-Ap-C-area-graph-2-jms.pg; numeric; piecewise linear graph with regions that are triangles, rectangles, or a triangle + rectangle; evaluate two definite integral",12-3-1-Ap-C-area-graph-3-jms.pg; numeric; piecewise with a quarter circle; ask for quarter circle only and one other integral which involves using 5-sub-interval,
12-3-2-Ap-C,12-3-2,Ap,C,3,evaluate the definite integral of a piecewise function (without the fundamental theorem of calculus),,,12-3-2-Ap-C-pw-def-no-ftc-1-jms.pg; numeric; function is linear and semicircle (both either pos/neg); solution evaluates with a graph; requires area as a rectangle + triangle and quarter circle,12-3-2-Ap-C-pw-def-no-ftc-2-jms.pg; numeric; peicewise function; graph is linear wtih y-int 0 and semicricle with centre on x-axis; requires triangle and half-circle area,12-3-2-Ap-C-pw-def-no-ftc-3-jms.pg; numeric; peicewise function; graph is piecewise linear; one part horizontal; one with nonzero slope; function changes definition at nonzero point (EASIER!),
12-3-4-An-C,12-3-4,An,C,4,calculate definite integrals using properties of the integral and given limited information about other integrals,,,12-3-4-An-C-abstract-int-1-jms.pg; numeric; find two definite integrals of one function using given integrals; just about manipulating intervals and splitting up integrals; scaffolded,12-3-4-An-C-abstract-int-2-jms.pg; numeric; find two definite integrals; given information about one function; second involves a scalar multiple and a constant function; scaffolded order,12-3-4-An-C-abstract-int-3-jms.pg; numeric; given information about two functions; find integrals of linear combinations; one uses two integrals given directly; the second involves splitting the two integrals up in to different ways but only as a to b and b to c and adding,
12-3-3-Ap-I,12-3-3,Ap,I,3,evaluate the definite integral of odd/even functions by using symmetry,,,,,,
13-0-0-C,13-0-0,,C,,state the Fundamental Theorem of Calculus and explore/demonstrate the relationship between differentiation and integration,High-level outcome (for course outline); short name: #13-0-0-C; FTC,,No. of 13-0-0-C problems  --- >>>,34,,
13-4-1-Ap-A,13-4-1,Ap,A,3,apply the FTC and earlier knowledge to determine intervals of increase/decrease of functions presented as integrals,,,13-4-1-Ap-A-ftc-increase-decrease-AT.pg,,,
13-4-2-Ap-A,13-4-2,Ap,A,3,apply the FTC and earlier knowledge to determine intervals of concavity of functions presented as integrals,,,13-4-2-Ap-A-ftc-concavity-AT.pg,,,
13-4-3-Ap-A,13-4-3,Ap,A,3,apply the FTC and the First Derivative Test to find local extrema of functions presented as integrals,,,,,,
13-4-4-Ap-A,13-4-4,Ap,A,3,apply the FTC and the Closed Interval Method to find global extrema of functions presented as integrals on a closed interval,,,13-4-4-Ap-A-ftc-closed-interval-method-AT.pg,,,
13-4-G-Ap-A,,,,,Folder containing questions for next four graph-based FTC learning outcomes,,,,,,
13-4-1G-Ap-A,13-4-1G,Ap,A,3,apply the FTC and earlier knowledge to determine intervals of increase/decrease of functions presented as integrals WITH INTEGRAND GIVEN AS A GRAPH,In folder 13-4-G-Ap-A,,13-4-1G-Ap-A-int-graph-inc-dec-1-jms.pg; drop down; for each interval choose increasing or decreasing'; graph is piecewise linear; rewritten version of 12-3-1-Ap-C-area-graph-1-jms.pg,13-4-1G-Ap-A-int-graph-inc-dec-2-jms.pg; rewritten version of 8-1-3-U-C-der-cubic-inc-dec-jms.pg,,
13-4-2G-Ap-A,13-4-2G,Ap,A,3,apply the FTC and earlier knowledge to determine intervals of concavity of functions presented as integrals  WITH INTEGRAND GIVEN AS A GRAPH,In folder 13-4-G-Ap-A,,13-4-2G-Ap-A-int-graph-concave-1-jms.pg; dropdown; rewritten version of 8-2-4-U-I-pw-frst-der-concave-jms.pg,13-4-2G-Ap-A-int-graph-concave-2-jms.pg; interval; rewritten versionof 8-2-4-U-I-cubic-first-der-concave-jms.pg,,
13-4-3G-Ap-A,13-4-3G,Ap,A,3,apply the FTC and the First Derivative Test to find local extrema of functions presented as integrals  WITH INTEGRAND GIVEN AS A GRAPH,In folder 13-4-G-Ap-A,,13-4-3G-Ap-A-loc-ext-int-graph-1-jms.pg; drop down; rewritten version of 9-1-2-U-C-pw-der-ext-2-no-int-jms.pg,,,
13-4-4G-Ap-A,13-4-4G,Ap,A,3,apply the FTC and the Closed Interval Method to find global extrema of functions presented as integrals on a closed interval  WITH INTEGRAND GIVEN AS A GRAPH,In folder 13-4-G-Ap-A,,13-4-4G-Ap-A-ftc-closed-int-jms-1.pg; numeric; piecewise linear; 3 critical points; find value of global max and global min (not x-values); rewritten version of 12-3-1-Ap-C-area-graph-1-jms.pg,13-4-4G-Ap-A-ftc-closed-int-jms-2.pg; numeric; rewritten version of 12-3-1-Ap-C-area-graph-2-jms.pg,,
13-0-1-R-C,13-0-1,R,C,1,state the Fundamental Theorem of Calculus (FTC),,,13-0-1-R-C-state-ftc-jms.pg; dropdown and numeric; indicate partial area function is an anitiderivative; indicate that any antiderivative can be used for computing definite integrals.,,,
